trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1_平日_08時30分_系統51111,8:30:00,8:30:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_08時30分_系統51111,8:31:00,8:31:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_08時30分_系統51111,8:32:00,8:32:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_08時30分_系統51111,8:33:00,8:33:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_08時30分_系統51111,8:33:00,8:33:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_08時30分_系統51111,8:34:00,8:34:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_08時30分_系統51111,8:35:00,8:35:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_08時30分_系統51111,8:42:00,8:42:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_09時00分_系統51111,9:00:00,9:00:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_09時00分_系統51111,9:01:00,9:01:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_09時00分_系統51111,9:02:00,9:02:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_09時00分_系統51111,9:03:00,9:03:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_09時00分_系統51111,9:03:00,9:03:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_09時00分_系統51111,9:04:00,9:04:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_09時00分_系統51111,9:05:00,9:05:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_09時00分_系統51111,9:12:00,9:12:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_09時30分_系統51111,9:30:00,9:30:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_09時30分_系統51111,9:31:00,9:31:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
